capacity_kwh,idle_fuel_fraction,pack_mass_delta_kg,fuel_capacity_cost_kg,discharge_enabling_benefit_kg,charge_ceiling_benefit_kg,gross_operational_benefit_kg,net_fuel_benefit_kg,loiter_endurance_h,endurance_change_h
16.5,0.1,34.666666666666664,32.398753894080926,2.7542735383939316,5.1564674296726025,7.910740968066534,-24.48801292601439,13.251123547505557,-1.9364331684452054
16.75,0.1,35.99999999999999,33.64485981308411,2.7612309936483825,5.326619906829478,8.08785090047786,-25.55700891260625,13.16687671120885,-2.0206800047419122
17.0,0.1,37.333333333333336,34.89096573208715,2.7679829426407423,5.4949840757331,8.262967018373843,-26.62799871371331,13.082519674341606,-2.1050370416091564
17.25,0.1,38.666666666666664,36.13707165109028,2.7745383586236585,5.661492146472028,8.436030505095687,-27.701041145994594,12.998057909400824,-2.1894988065499383
17.5,0.1,39.99999999999999,37.38317757009344,2.780905699900927,5.826290970086916,8.607196669987843,-28.775980900105594,12.913496750044093,-2.2740599659066696
17.75,0.1,41.333333333333336,38.62928348909648,2.7870929462452523,5.989301401337798,8.77639434758305,-29.85288914151343,12.828841395024998,-2.3587153209257643
18.0,0.1,42.666666666666664,39.875389408099636,2.7931076322744275,6.15059424956371,8.943701881838138,-30.9316875262615,12.74409691199673,-2.443459803954033
18.25,0.1,43.99999999999999,41.12149532710279,2.7989568780643594,6.310210977998395,9.109167856062754,-32.01232747104004,12.659268241189286,-2.5282884747614762
18.5,0.1,45.333333333333336,42.367601246105835,2.804647417268825,6.468105544645482,9.272752961914307,-33.09484828419153,12.57436019896508,-2.613196516985683
18.75,0.1,46.666666666666664,43.61370716510899,2.8101856229919804,6.624418075528638,9.434603698520618,-34.17910346658837,12.489377481258067,-2.698179234692695
19.0,0.1,47.99999999999999,44.85981308411215,2.815577531603026,6.779070350156985,9.594647881760011,-35.26516520235214,12.404324666900376,-2.783232049050387
19.25,0.1,49.333333333333336,46.10591900311519,2.8208288646760593,6.932113834173265,9.752942698849324,-36.352976304265866,12.319206220841126,-2.8683504951096364
19.5,0.1,50.666666666666664,47.35202492211832,2.8259450492620317,7.083619939076243,9.909564988338275,-37.44245993378004,12.23402649726147,-2.953530218689293
19.75,0.1,51.99999999999999,48.598130841121474,2.8309312365917094,7.233527808649455,10.064459045241165,-38.53367179588031,12.148789742589763,-3.0387669733609997
20.0,0.1,53.333333333333336,49.84423676012452,2.8357923193789247,7.381936231319969,10.217728550698894,-39.62650820942562,12.063500098420638,-3.1240566175301243
